"searchTerm","semanticTags","confidence","annotatedProperty.propertyValue","derivedFrom.provenance.source.type"
"Noodles, egg, fried with spring onions, homemade","http://purl.obolibrary.org/obo/FOODON_03311130","MEDIUM","shrimp (breaded, fried, homemade)","ONTOLOGY"
"Noodles, egg, fried with spring onions, homemade","http://purl.obolibrary.org/obo/FOODON_03309151","MEDIUM","chicken (breaded and fried, homemade)","ONTOLOGY"
"Chinatown Dim Sum Royal Prawn Ha Kau 12 Handmade Pieces 240g","http://purl.obolibrary.org/obo/NCBITaxon_139456","MEDIUM","Penaeus chinensis","ONTOLOGY"
"Chinatown Dim Sum Royal Prawn Ha Kau 12 Handmade Pieces 240g","http://purl.obolibrary.org/obo/NCBITaxon_3285","MEDIUM","Osmunda regalis","ONTOLOGY"
"Pak choi, steamed","http://purl.obolibrary.org/obo/FOODON_03401465","MEDIUM","10006145 - pak choi (gs1 gpc)","ONTOLOGY"
"Pak choi, steamed","http://purl.obolibrary.org/obo/FOODON_03540487","MEDIUM","04870 - pak-choi (efsa foodex2)","ONTOLOGY"
"Chilli, vegetable, homemade","http://purl.obolibrary.org/obo/FOODON_03311843","MEDIUM","mayonnaise (homemade)","ONTOLOGY"
"Chilli, vegetable, homemade","http://purl.obolibrary.org/obo/FOODON_03305382","MEDIUM","bread (homemade)","ONTOLOGY"
"Elderberry Pure Juice, Biona","http://purl.obolibrary.org/obo/FOODON_03306177","MEDIUM","elderberry juice","ONTOLOGY"
"Elderberry Pure Juice, Biona","http://purl.obolibrary.org/obo/FOODON_03543182","MEDIUM","31820 - juice, elderberry (efsa foodex2)","ONTOLOGY"
"Waitrose Sunflower & Pumpkin Cob 600g","http://purl.obolibrary.org/obo/FOODON_03309753","GOOD","sunflower (raw)","ONTOLOGY"
"Yeast extract","http://purl.obolibrary.org/obo/FOODON_03315426","GOOD","yeast extract","ONTOLOGY"
"Meridian Crunchy Peanut Butter 454g","http://purl.obolibrary.org/obo/FOODON_03306867","MEDIUM","peanut butter","ONTOLOGY"
"Meridian Crunchy Peanut Butter 454g","http://purl.obolibrary.org/obo/FOODON_03311620","MEDIUM","cookie, peanut butter","ONTOLOGY"
"Butter, salted","http://purl.obolibrary.org/obo/FOODON_03302643","MEDIUM","butter (salted)","ONTOLOGY"
"Butter, salted","http://purl.obolibrary.org/obo/FOODON_03310351","MEDIUM","butter","ONTOLOGY"
"Ryvita, multigrain","http://purl.obolibrary.org/obo/FOODON_03302478","MEDIUM","multigrain bread","ONTOLOGY"
"Ryvita, multigrain","http://purl.obolibrary.org/obo/FOODON_03540133","MEDIUM","01330 - multigrain bread and rolls (efsa foodex2)","ONTOLOGY"
"Waitrose Cocktail Gherkins 290g","http://purl.obolibrary.org/obo/FOODON_03401522","MEDIUM","10006449 - gherkins (gs1 gpc)","ONTOLOGY"
"Waitrose Cocktail Gherkins 290g","http://purl.obolibrary.org/obo/FOODON_03540674","MEDIUM","06740 - gherkins (efsa foodex2)","ONTOLOGY"
"Pr'esident Brie 125g","http://purl.obolibrary.org/obo/FOODON_03303508","MEDIUM","brie cheese","ONTOLOGY"
"Pr'esident Brie 125g","http://purl.obolibrary.org/obo/FOODON_00001028","MEDIUM","Brie cheese food product","ONTOLOGY"
"Hellmanns, Real Mayonnaise","http://purl.obolibrary.org/obo/FOODON_03301440","MEDIUM","mayonnaise","ONTOLOGY"
"Hellmanns, Real Mayonnaise","http://purl.obolibrary.org/obo/FOODON_03306407","MEDIUM","diabetic mayonnaise","ONTOLOGY"
"Waitrose British Breaded Ham 6 Slices 120g","http://purl.obolibrary.org/obo/FOODON_03308549","GOOD","scallop (breaded)","ONTOLOGY"
"Eggs, chicken, whole, boiled","http://purl.obolibrary.org/obo/FOODON_00002800","MEDIUM","hen egg (whole, boiled)","ONTOLOGY"
"Eggs, chicken, whole, boiled","http://purl.obolibrary.org/obo/FOODON_03542977","MEDIUM","29770 - boiled eggs (efsa foodex2)","ONTOLOGY"
"Quorn Classic Chilli 225g","http://purl.obolibrary.org/obo/FOODON_03544141","MEDIUM","41410 - chilli pickle (efsa foodex2)","ONTOLOGY"
"Quorn Classic Chilli 225g","http://purl.obolibrary.org/obo/FOODON_03544234","MEDIUM","42340 - chilli flavour (efsa foodex2)","ONTOLOGY"
"Morrisons 9 Garlic Bread Slices 270g","http://purl.obolibrary.org/obo/FOODON_03302379","MEDIUM","garlic bread","ONTOLOGY"
"Morrisons 9 Garlic Bread Slices 270g","http://purl.obolibrary.org/obo/FOODON_03305077","MEDIUM","beet slices with garlic (pickled)","ONTOLOGY"
"Cathedral City Mature Cheese 550g","http://purl.obolibrary.org/obo/FOODON_00002421","GOOD","cambozola cheese","ONTOLOGY"
"White rice, basmati, boiled","http://purl.obolibrary.org/obo/FOODON_03310654","MEDIUM","rice (boiled)","ONTOLOGY"
"White rice, basmati, boiled","http://purl.obolibrary.org/obo/FOODON_03310224","MEDIUM","hen egg white (boiled)","ONTOLOGY"
"Hula Hoops Big Hoops BBQ Beef Flavour Potato Rings 50g","http://purl.obolibrary.org/obo/FOODON_03544199","MEDIUM","41990 - beef flavour (efsa foodex2)","ONTOLOGY"
"Hula Hoops Big Hoops BBQ Beef Flavour Potato Rings 50g","http://purl.obolibrary.org/obo/FOODON_03544200","MEDIUM","42000 - beef soup flavour (efsa foodex2)","ONTOLOGY"
"Walkers Cheese & Onion Crisps","http://purl.obolibrary.org/obo/FOODON_00002421","GOOD","cambozola cheese","ONTOLOGY"
"Mahou Cinco Estrella Lager Beer 660ml","http://purl.obolibrary.org/obo/FOODON_03543333","GOOD","33330 - lager beer (efsa foodex2)","ONTOLOGY"
"Maynard Wine Gums","http://purl.obolibrary.org/obo/FOODON_03304091","GOOD","orange wine","ONTOLOGY"
"Cadbury Dairy Milk Fruit & Nut 54g","http://purl.obolibrary.org/obo/FOODON_03311419","MEDIUM","frozen dairy dessert (milk-based)","ONTOLOGY"
"Cadbury Dairy Milk Fruit & Nut 54g","http://purl.obolibrary.org/obo/FOODON_03303708","MEDIUM","acidified cow milk dairy product","ONTOLOGY"
"Tuna Mayonnaise","http://purl.obolibrary.org/obo/FOODON_03301440","MEDIUM","mayonnaise","ONTOLOGY"
"Tuna Mayonnaise","http://purl.obolibrary.org/obo/FOODON_03411269","MEDIUM","tuna","ONTOLOGY"
"Sweetcorn kernels, canned in water, drained","http://purl.obolibrary.org/obo/FOODON_03311260","MEDIUM","lobster meat (canned, drained)","ONTOLOGY"
"Sweetcorn kernels, canned in water, drained","http://purl.obolibrary.org/obo/FOODON_03307002","MEDIUM","chestnut (canned, in water)","ONTOLOGY"
"Garden Salad","http://purl.obolibrary.org/obo/FOODON_03316042","GOOD","salad","ONTOLOGY"
"Baked beans, canned in tomato sauce","http://purl.obolibrary.org/obo/FOODON_03307027","MEDIUM","pork and beans with tomato sauce (canned)","ONTOLOGY"
"Baked beans, canned in tomato sauce","http://purl.obolibrary.org/obo/FOODON_03308092","MEDIUM","sardine in tomato sauce (canned)","ONTOLOGY"
"Celery, raw","http://purl.obolibrary.org/obo/FOODON_03301727","MEDIUM","celery stalk (whole, raw)","ONTOLOGY"
"Celery, raw","http://purl.obolibrary.org/obo/FOODON_03302922","MEDIUM","celery heart (whole, raw)","ONTOLOGY"
"Sunflower seeds","http://purl.obolibrary.org/obo/FOODON_03541187","MEDIUM","11870 - sunflower seeds (efsa foodex2)","ONTOLOGY"
"Sunflower seeds","http://purl.obolibrary.org/obo/FOODON_03541186","MEDIUM","11860 - sunflower seeds and similar- (efsa foodex2)","ONTOLOGY"
"Waitrose Victoria Sponge Cake","http://purl.obolibrary.org/obo/FOODON_03315342","MEDIUM","cake (sponge)","ONTOLOGY"
"Waitrose Victoria Sponge Cake","http://purl.obolibrary.org/obo/FOODON_03540256","MEDIUM","02560 - sponge cake (efsa foodex2)","ONTOLOGY"
"Chia seeds","http://purl.obolibrary.org/obo/FOODON_03541235","MEDIUM","12350 - chia seeds (efsa foodex2)","ONTOLOGY"
"Chia seeds","http://purl.obolibrary.org/obo/FOODON_00004284","MEDIUM","chia sprout","ONTOLOGY"
"Cadbury Dairy Milk Choc Tops Ice Cream Cones 4 x 110ml","http://purl.obolibrary.org/obo/FOODON_00001045","MEDIUM","ice cream food product","ONTOLOGY"
"Cadbury Dairy Milk Choc Tops Ice Cream Cones 4 x 110ml","http://purl.obolibrary.org/obo/FOODON_03304699","MEDIUM","goat's milk ice cream","ONTOLOGY"
"Biscuits, digestive, plain","http://purl.obolibrary.org/obo/FOODON_03540238","GOOD","02380 - biscuits, sweet, plain (efsa foodex2)","ONTOLOGY"
"Blueberries","http://purl.obolibrary.org/obo/FOODON_03401431","MEDIUM","10005929 - blueberries (gs1 gpc)","ONTOLOGY"
"Blueberries","http://purl.obolibrary.org/obo/FOODON_03541564","MEDIUM","15640 - blueberries (efsa foodex2)","ONTOLOGY"
"Morrisons Prawn Mayonnaise on Oatmeal Bread","http://purl.obolibrary.org/obo/FOODON_03302473","MEDIUM","oatmeal bread","ONTOLOGY"
"Morrisons Prawn Mayonnaise on Oatmeal Bread","http://purl.obolibrary.org/obo/FOODON_03301440","MEDIUM","mayonnaise","ONTOLOGY"
"Blue Dragon Medium Egg Noodles 100g","http://purl.obolibrary.org/obo/FOODON_03414620","GOOD","dragon lizard","ONTOLOGY"
"Oil, sesame","http://purl.obolibrary.org/obo/FOODON_03304152","MEDIUM","sesame oil","ONTOLOGY"
"Oil, sesame","http://purl.obolibrary.org/obo/FOODON_03310378","MEDIUM","sesame oil press cake","ONTOLOGY"
"Curly kale, raw","http://purl.obolibrary.org/obo/FOODON_03413376","MEDIUM","curly kale plant","ONTOLOGY"
"Curly kale, raw","http://purl.obolibrary.org/obo/FOODON_03304859","MEDIUM","kale leaf (whole, raw)","ONTOLOGY"
"Peppers, capsicum, yellow, raw","http://purl.obolibrary.org/obo/FOODON_03301174","GOOD","capsicum pepper (whole, raw)","ONTOLOGY"
"Wontons, prawn, deep fried","http://purl.obolibrary.org/obo/FOODON_03317172","MEDIUM","prawn (peeled, deep-frozen)","ONTOLOGY"
"Wontons, prawn, deep fried","http://purl.obolibrary.org/obo/FOODON_03308548","MEDIUM","scallop (deep sea, fried)","ONTOLOGY"
"Wonton Noodle Soup","http://purl.obolibrary.org/obo/FOODON_03306622","MEDIUM","noodle soup","ONTOLOGY"
"Wonton Noodle Soup","http://purl.obolibrary.org/obo/FOODON_03304253","MEDIUM","beef noodle soup mix","ONTOLOGY"
"Honey, raw","http://purl.obolibrary.org/obo/FOODON_03301024","GOOD","honey (raw)","ONTOLOGY"
"Cabbage, Chinese, raw","http://purl.obolibrary.org/obo/FOODON_03310104","GOOD","chinese cabbage head (raw)","ONTOLOGY"
"Laoganma Preserved Black Beans in Chilli Oil 280g","http://purl.obolibrary.org/obo/FOODON_03311686","MEDIUM","moreton bay chestnut black bean (in oil)","ONTOLOGY"
"Laoganma Preserved Black Beans in Chilli Oil 280g","http://purl.obolibrary.org/obo/FOODON_03316310","MEDIUM","strawberry (preserved in airtight container)","ONTOLOGY"
"Morrisons Fruit, Nut & Seed Mix 50g","http://purl.obolibrary.org/obo/FOODON_03307547","GOOD","fruit and nut cake","ONTOLOGY"
"Waitrose 1 Charcoal & Sesame Wholemeal Biscuits 130g","http://purl.obolibrary.org/obo/FOODON_03450007","MEDIUM","charcoal broiling","ONTOLOGY"
"Waitrose 1 Charcoal & Sesame Wholemeal Biscuits 130g","http://purl.obolibrary.org/obo/FOODON_03302181","MEDIUM","meat (charcoal-broiled)","ONTOLOGY"
"Castello Extra Creamy Brie 200g","http://purl.obolibrary.org/obo/FOODON_03306903","MEDIUM","peanut butter (creamy)","ONTOLOGY"
"Castello Extra Creamy Brie 200g","http://purl.obolibrary.org/obo/FOODON_03303508","MEDIUM","brie cheese","ONTOLOGY"
"Cheese, Comte","http://purl.obolibrary.org/obo/FOODON_03542896","MEDIUM","28960 - cheese, comte (efsa foodex2)","ONTOLOGY"
"Cheese, Comte","http://purl.obolibrary.org/obo/FOODON_00002421","MEDIUM","cambozola cheese","ONTOLOGY"
"Wine, red","http://purl.obolibrary.org/obo/FOODON_03310272","MEDIUM","red wine","ONTOLOGY"
"Wine, red","http://purl.obolibrary.org/obo/FOODON_03305713","MEDIUM","meat in red wine","ONTOLOGY"
"McDonalds Double Cheese Burger","http://purl.obolibrary.org/obo/FOODON_03542812","MEDIUM","28120 - cheese, double gloucester (efsa foodex2)","ONTOLOGY"
"McDonalds Double Cheese Burger","http://purl.obolibrary.org/obo/FOODON_03311366","MEDIUM","buffalo burger","ONTOLOGY"
"French fries, McDonalds","http://purl.obolibrary.org/obo/FOODON_03543892","MEDIUM","38920 - french fries from dough (efsa foodex2)","ONTOLOGY"
"French fries, McDonalds","http://purl.obolibrary.org/obo/FOODON_03543891","MEDIUM","38910 - french fries from cut potato (efsa foodex2)","ONTOLOGY"
"Cola","http://purl.obolibrary.org/obo/FOODON_03543320","GOOD","33200 - cola mix, flavoured cola (efsa foodex2)","ONTOLOGY"
"Ham & salad sandwich","http://purl.obolibrary.org/obo/FOODON_03306818","MEDIUM","ham (raw)","ONTOLOGY"
"Ham & salad sandwich","http://purl.obolibrary.org/obo/FOODON_03306437","MEDIUM","ham (chopped)","ONTOLOGY"
"Gluten free Oatmeal and raisin cookie","http://purl.obolibrary.org/obo/FOODON_00003294","GOOD","oatmeal raisin cookie","ONTOLOGY"
"Sausage, in batter, take away","http://purl.obolibrary.org/obo/FOODON_03316678","MEDIUM","fish portion (in batter, quick-frozen)","ONTOLOGY"
"Sausage, in batter, take away","http://purl.obolibrary.org/obo/FOODON_03301304","MEDIUM","batter","ONTOLOGY"
"Peas, mushy, canned, re-heated","http://purl.obolibrary.org/obo/FOODON_03543898","MEDIUM","38980 - mushy peas (efsa foodex2)","ONTOLOGY"
"Peas, mushy, canned, re-heated","http://purl.obolibrary.org/obo/FOODON_03306812","MEDIUM","peas (whole, rehydrated, canned)","ONTOLOGY"
"Battered Cod","http://purl.obolibrary.org/obo/FOODON_03411423","GOOD","cod","ONTOLOGY"
"Bread rolls, white, soft","http://purl.obolibrary.org/obo/FOODON_03540122","MEDIUM","01220 - wheat bread and rolls, white with rice (efsa foodex2)","ONTOLOGY"
"Bread rolls, white, soft","http://purl.obolibrary.org/obo/FOODON_03540121","MEDIUM","01210 - wheat bread and rolls, white with potato (efsa foodex2)","ONTOLOGY"
"Jasmine Rice","http://purl.obolibrary.org/obo/FOODON_03414252","GOOD","jasmine plant","ONTOLOGY"
"Chicken, meat, average, roasted","http://purl.obolibrary.org/obo/FOODON_00001040","MEDIUM","chicken meat food product","ONTOLOGY"
"Chicken, meat, average, roasted","http://purl.obolibrary.org/obo/FOODON_00004239","MEDIUM","chicken meat","ONTOLOGY"
"Broccoli, green, boiled in salted water","http://purl.obolibrary.org/obo/FOODON_03306860","MEDIUM","peanut (green, boiled, packed in brine)","ONTOLOGY"
"Broccoli, green, boiled in salted water","http://purl.obolibrary.org/obo/FOODON_03310951","MEDIUM","hen egg (whole, boiled, shell off, salted)","ONTOLOGY"
"Pure Brew 6 x 330ml","http://purl.obolibrary.org/obo/FOODON_03305288","GOOD","sugar cane juice (pure)","ONTOLOGY"
"Big Tom Spiced Tomato Mix Bloody Mary Mix 150ml","http://purl.obolibrary.org/obo/FOODON_03304034","MEDIUM","bloody mary mix","ONTOLOGY"
"Big Tom Spiced Tomato Mix Bloody Mary Mix 150ml","http://purl.obolibrary.org/obo/FOODON_03310477","MEDIUM","tom collins mix","ONTOLOGY"
"Doritos Chilli Heatwave Tortilla Chips 40g","http://purl.obolibrary.org/obo/FOODON_03544040","MEDIUM","40400 - tortilla chips (efsa foodex2)","ONTOLOGY"
"Doritos Chilli Heatwave Tortilla Chips 40g","http://purl.obolibrary.org/obo/FOODON_03307668","MEDIUM","tortilla","ONTOLOGY"
"M&M's Peanut Chocolate Price Marked Treat Bag 82g","http://purl.obolibrary.org/obo/PO_0025496","MEDIUM","multi-tissue plant structure","ONTOLOGY"
"M&M's Peanut Chocolate Price Marked Treat Bag 82g","http://purl.obolibrary.org/obo/PO_0025498","MEDIUM","cardinal part of multi-tissue plant structure","ONTOLOGY"
"Bacon rashers, streaky, fried in corn oil","http://purl.obolibrary.org/obo/FOODON_03307538","MEDIUM","potato peeling (cooked in corn oil)","ONTOLOGY"
"Bacon rashers, streaky, fried in corn oil","http://purl.obolibrary.org/obo/FOODON_03310564","MEDIUM","bacon (fried)","ONTOLOGY"
"Bread rolls, wholemeal","http://purl.obolibrary.org/obo/FOODON_03540125","MEDIUM","01250 - wheat bread and rolls, brown or wholemeal (efsa foodex2)","ONTOLOGY"
"Bread rolls, wholemeal","http://purl.obolibrary.org/obo/FOODON_03400691","MEDIUM","01  bread and rolls (efg)","ONTOLOGY"
"Brown sauce","http://purl.obolibrary.org/obo/FOODON_03305335","MEDIUM","brown sauce mix","ONTOLOGY"
"Brown sauce","http://purl.obolibrary.org/obo/FOODON_03544115","MEDIUM","41150 - british islands brown sauce (efsa foodex2)","ONTOLOGY"
"Egg, fried in sunflower oil","http://purl.obolibrary.org/obo/FOODON_03311693","MEDIUM","tomato (dried in sunflower oil)","ONTOLOGY"
"Egg, fried in sunflower oil","http://purl.obolibrary.org/obo/FOODON_03310357","MEDIUM","sunflower seed oil","ONTOLOGY"
"Chicken, light meat, roasted","http://purl.obolibrary.org/obo/FOODON_03308711","MEDIUM","tuna (light meat, canned)","ONTOLOGY"
"Chicken, light meat, roasted","http://purl.obolibrary.org/obo/FOODON_00004239","MEDIUM","chicken meat","ONTOLOGY"
"Sainsbury's SO Organic Little Gem Lettuce","http://purl.obolibrary.org/obo/NCBITaxon_466611","MEDIUM","Lactuca sativa var. crispa","ONTOLOGY"
"Sainsbury's SO Organic Little Gem Lettuce","http://purl.obolibrary.org/obo/NCBITaxon_4236","MEDIUM","Lactuca sativa","ONTOLOGY"
"D'elifrance Classic White Roll 40 x 90g","http://purl.obolibrary.org/obo/FOODON_03303181","GOOD","white roll","ONTOLOGY"
"Pepper, black","http://purl.obolibrary.org/obo/FOODON_03306739","MEDIUM","black pepper (ground)","ONTOLOGY"
"Pepper, black","http://purl.obolibrary.org/obo/FOODON_00001650","MEDIUM","black pepper food product","ONTOLOGY"
"Soy Sauce, (Tamari)","http://purl.obolibrary.org/obo/FOODON_03309556","MEDIUM","tamari sauce","ONTOLOGY"
"Soy Sauce, (Tamari)","http://purl.obolibrary.org/obo/FOODON_03301115","MEDIUM","soy sauce","ONTOLOGY"
"Ginger, fresh","http://purl.obolibrary.org/obo/NCBITaxon_94328","MEDIUM","Zingiber officinale","ONTOLOGY"
"Ginger, fresh","http://purl.obolibrary.org/obo/NCBITaxon_4642","MEDIUM","Zingiberaceae","ONTOLOGY"
"Garlic powder","http://purl.obolibrary.org/obo/FOODON_03301844","GOOD","garlic powder","ONTOLOGY"
"Garlic puree","http://purl.obolibrary.org/obo/FOODON_03306896","MEDIUM","garlic and onion puree","ONTOLOGY"
"Garlic puree","http://purl.obolibrary.org/obo/FOODON_03540946","MEDIUM","09460 - garlic puree (efsa foodex2)","ONTOLOGY"
"Syrup, golden","http://purl.obolibrary.org/obo/FOODON_03303225","GOOD","syrup","ONTOLOGY"
"Tung Chun Chinese Vinegar 500ml","http://purl.obolibrary.org/obo/FOODON_03310728","MEDIUM","black vinegar chinese","ONTOLOGY"
"Tung Chun Chinese Vinegar 500ml","http://purl.obolibrary.org/obo/FOODON_03301705","MEDIUM","vinegar","ONTOLOGY"
"Tofu, soya bean, steamed, fried","http://purl.obolibrary.org/obo/FOODON_03310697","MEDIUM","broad bean cake (fried)","ONTOLOGY"
"Tofu, soya bean, steamed, fried","http://purl.obolibrary.org/obo/FOODON_03543100","MEDIUM","31000 - soya bean oil, refined (efsa foodex2)","ONTOLOGY"
"Egg Fried Rice","http://purl.obolibrary.org/obo/FOODON_00002849","MEDIUM","fried rice","ONTOLOGY"
"Egg Fried Rice","http://purl.obolibrary.org/obo/FOODON_03304584","MEDIUM","shrimp fried rice","ONTOLOGY"
"Peas, frozen, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03304777","MEDIUM","rice and peas (frozen)","ONTOLOGY"
"Peas, frozen, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03308051","MEDIUM","clam (baby, boiled, frozen)","ONTOLOGY"
"Carrots, young, raw","http://purl.obolibrary.org/obo/FOODON_03401791","MEDIUM","10006122 - carrots (gs1 gpc)","ONTOLOGY"
"Carrots, young, raw","http://purl.obolibrary.org/obo/FOODON_03301378","MEDIUM","peas and carrots (canned)","ONTOLOGY"
"Snyder's of Hanover Cheddar Cheese Pretzel Pieces 125g","http://purl.obolibrary.org/obo/FOODON_03302993","MEDIUM","pasteurized process cheddar cheese","ONTOLOGY"
"Snyder's of Hanover Cheddar Cheese Pretzel Pieces 125g","http://purl.obolibrary.org/obo/FOODON_03302458","MEDIUM","cheddar cheese","ONTOLOGY"
"Sainsbury's Tropical Granola 1kg","http://purl.obolibrary.org/obo/FOODON_03309706","MEDIUM","granola bar","ONTOLOGY"
"Sainsbury's Tropical Granola 1kg","http://purl.obolibrary.org/obo/FOODON_03317496","MEDIUM","breakfast cereal (granola-type)","ONTOLOGY"
"Houghton Hams British Wiltshire Cured Cooked Ham 280g","http://purl.obolibrary.org/obo/FOODON_03310970","MEDIUM","ham (cooked, cured)","ONTOLOGY"
"Houghton Hams British Wiltshire Cured Cooked Ham 280g","http://purl.obolibrary.org/obo/FOODON_03301114","MEDIUM","ham (cured)","ONTOLOGY"
"Bread, white, sliced","http://purl.obolibrary.org/obo/FOODON_03316029","MEDIUM","bread (pre-packed, sliced)","ONTOLOGY"
"Bread, white, sliced","http://purl.obolibrary.org/obo/FOODON_03316030","MEDIUM","bread (rye, prepacked, sliced)","ONTOLOGY"
"Sushi, salmon nigiri","http://purl.obolibrary.org/obo/FOODON_00003243","MEDIUM","sushi","ONTOLOGY"
"Sushi, salmon nigiri","http://purl.obolibrary.org/obo/FOODON_00003473","MEDIUM","salmon","ONTOLOGY"
"Glorious Sushi Assorted Sushi 180g","http://purl.obolibrary.org/obo/FOODON_00003243","MEDIUM","sushi","ONTOLOGY"
"Glorious Sushi Assorted Sushi 180g","http://purl.obolibrary.org/obo/FOODON_03309723","MEDIUM","seafood sushi","ONTOLOGY"
"McCain Crispy French Fries 750g","http://purl.obolibrary.org/obo/FOODON_03543892","MEDIUM","38920 - french fries from dough (efsa foodex2)","ONTOLOGY"
"McCain Crispy French Fries 750g","http://purl.obolibrary.org/obo/FOODON_03543891","MEDIUM","38910 - french fries from cut potato (efsa foodex2)","ONTOLOGY"
"McDONALD'S, Sausage McMUFFIN with Egg","http://purl.obolibrary.org/obo/FOODON_03306792","MEDIUM","pizza (sausage with cheese, mix)","ONTOLOGY"
"McDONALD'S, Sausage McMUFFIN with Egg","http://purl.obolibrary.org/obo/FOODON_03306788","MEDIUM","pizza with sausage (artificially sweetened)","ONTOLOGY"
